Actual_House_Price,Predicted_House_Price
901000.4882338208,868687.107479041
494537.5115454976,490337.89825447014
949404.2006657254,945667.1242253823
1040389.0481357794,1033402.8759924906
794010.0167336396,776698.7739058781
724033.5604571347,732444.0933530893
998439.2371139774,995051.991562736
909713.435000704,885174.7692436357
792681.5184200833,796730.5381713815
947490.777477816,931741.0920927306
774150.0468123948,759486.733767724
654466.9454086807,645409.4041020477
217462.4450570884,217706.20688727233
1034380.2041616676,1047436.5266942863
530476.1232749791,536985.2837109958
194353.7361399757,187868.5534310351
441315.08847493527,456819.02346556284
354744.6305953098,357933.9849776735
755402.3726912518,743138.3572193102
348893.55395287194,362670.947967905
763645.6101593996,775101.052485278
475767.3504503976,478174.4292170187
676108.8512096877,680966.0634507992
887527.9071799915,889457.5600147261
438250.1761546225,447158.93387225294
402213.42189319455,396997.7864133071
472657.61431723344,454334.2202696175
453579.1055342158,442837.53540885926
191907.6525048871,187336.81096627607
489595.4124613424,491668.18070410774
270230.63769827964,279715.8174097737
893926.6294720689,895941.0005743089
771922.849821314,783583.197788429
338350.5954344411,352212.91737966926
457643.0980423783,479313.2846559944
775773.2237663032,766612.6601435044
474659.86005527806,474636.2510950785
570399.7427677898,572446.3728803186
280961.6803897855,303449.70619641215
147601.55157708153,154599.2703607136
300656.0790681994,304341.05092123325
307101.6858385633,299677.0077528276
486872.0567091347,508575.9110588726
304653.63604893,309977.5172528401
1092026.89678641,1082131.7699476355
1008539.156234348,1011343.6357523284
747938.7115439639,760359.5646095864
818613.7108034128,807425.5744587744
1028282.3118218936,1025548.170094152
694917.3008745462,692212.5639310202
261227.3187203414,282589.94240714464
762769.5055574658,753107.785987042
813296.8090259811,812615.7100789152
705754.4319783618,717618.3237269678
530824.1967752124,542152.8483266439
809686.201143527,802743.4980768239
190828.13988469375,174572.00320681726
335332.59275293903,331617.63053120294
728289.8873118911,715523.4824611953
217213.6452196605,217505.88982087522
993273.0796606252,985804.5902999138
377511.26849809097,375877.1813029838
322312.8625079516,321235.4527818008
517515.4060050993,511200.1922067558
604936.830452781,615059.2516757885
551324.4886576998,558400.6692107738
468699.4412955908,476020.6931616911
729494.9061684583,746343.2519432527
951093.5469938468,951016.9435408402
746167.7281082802,742469.1402018538
480961.44203831744,473296.83469299914
875981.0268954616,860886.6631262158
264215.33977452776,265113.04482731817
574912.7662317117,580312.1682412633
684425.2003263966,674220.088606528
733612.8163648158,730098.3410980499
551444.6316158974,549526.7813822961
188531.42345710637,198305.1152279895
537619.5908056167,540249.2659328973
872676.434152397,881855.5728503249
545482.7420093057,545130.7600782915
397346.1108776756,415897.8408833975
534533.0200368982,536816.296902773
191117.1012230497,198562.83178416867
149743.4999535613,152224.21655108087
379005.7118671184,357347.11900054803
964865.2986386952,966222.0002783526
935451.9335719376,940575.0333062765
552158.5008426193,542802.185189425
224507.20014868543,232537.8383216249
934919.3827777772,933085.1509473623
781388.9356850483,778059.5760319234
364834.6821527956,358039.81523769314
798362.7750475319,800708.8611166279
706686.3209428937,702393.3163187277
1068538.1056038716,1059729.0175969275
760720.1464642045,761426.5331490665
898283.8867356428,889365.9717364901
863289.3969030941,854927.7454747843
605369.8615424815,597198.6834405988
917235.4105319374,911269.210929233
871566.5627396672,863069.2581030963
262707.27893308154,271456.90213360195
605143.9591154716,615152.9623963437
470083.2903669343,444828.8058408418
913774.3890331694,925695.4524990222
560304.6612210645,572364.2424574766
198773.4757127592,205772.00581767233
285546.501684919,280458.16201433365
1037911.6519852468,1035178.7745607576
827140.4447152761,818936.4488331692
418003.15725851554,415693.3520789526
933332.7201261588,926085.6829656488
533656.3940212176,548202.05250928
730047.4973881331,738072.9932382476
914555.7450033636,909764.2732562708
294558.07202157495,280749.3144603047
882532.5489330415,870859.1301481519
252024.0176812598,237403.445674545
724814.2264216079,723833.089569512
246717.9663664509,252753.7383942883
481489.24616078194,492142.53742948227
889364.8170683798,870751.8129368102
219426.92448759967,228202.86501910968
338170.31528112484,334319.06828665355
327253.4579829949,303274.11259535735
548288.2433774915,552673.5029436351
848697.2899849606,844324.981086408
953339.7306451156,957382.9469916393
574383.5478606392,588446.0709691205
779336.1178319983,777943.9550049822
685644.2336178538,685054.8467885104
619660.8346800937,614723.9336411675
701493.9970692651,698042.5315453729
673586.747670695,686005.2208308266
866877.3524150968,857091.1034832565
513720.44181706064,516576.2751565448
624112.1600204634,621079.9002663519
652166.1423658864,665183.1529900206
248224.0196560961,244965.4605198305
485380.95019563066,490637.33615803625
861356.9775590366,864323.6265323134
336153.4280264353,340826.51636072097
749610.4677553453,736321.8115461889
897176.5668201512,879686.589456087
343678.93524860224,351296.2484825842
926094.1390762049,937440.5250487409
370992.4565584571,360704.09163037187
697909.6503581115,690896.8114509372
915441.1797542056,934727.6283546792
583183.4309103092,575392.3527407546
788150.9318106314,794279.4271391092
931856.9695152728,942066.2871416492
901471.7427249742,891363.3066449756
1033816.8247013512,1052660.814429351
697780.778011206,687547.8802296126
269061.7820440072,273432.6717459393
627322.941247679,636799.8478919277
986006.861736761,981949.2723611397
754662.1768906609,754716.6799230677
238459.1158908021,241338.21735314047
870212.7996762642,863468.7825166391
804727.9577270229,811235.289878295
665369.9589318279,668250.5174740211
1017583.4273609958,1011917.1021845678
972040.0599877926,961827.4034160066
895675.5548211845,917379.8042090855
190802.0703078011,182078.6238797396
644601.105174152,647382.5815770668
867445.4184620865,860385.7871884624
646766.2897519646,654445.5512127959
246540.9659359964,260417.86071231833
515813.7578353911,504865.24895970215
460741.2339285246,460371.35050553177
523323.0670600654,524605.4419578918
496427.1035646905,503498.6224453159
611205.6889207754,623507.6654162839
1038652.4247755758,1028679.7088035516
665969.5719032948,673923.1984689261
522309.4058721854,527518.5216216515
1017321.3952750646,1000741.0049533732
745395.8553692064,745598.1666768647
336073.5215992294,334756.0941124149
418888.6616954587,437468.8526196938
542247.1622628621,553946.6202539913
492018.32279508375,496942.1950704801
344363.2736819858,356054.4903896929
605600.9507407207,606021.461112479
564747.6546436538,569924.5539964165
321278.1795200379,331310.39159943524
504682.30124801846,506153.51958510885
503962.1877251642,492795.1657458789
967780.6667222162,962952.2682406547
918893.7439235622,926827.7977934252
252963.3562076132,258306.50503324013
824529.5721138918,818330.7833243631
180393.6281134625,167184.46890831136
965816.66811073,974935.3768881004
433664.2275283448,440553.8220911622
663904.9927177994,663288.688564828
